title,link
"이용섭 광주시장 ""인공지능 중심 산업융합 집적단지 조성 박차 가해달라""",http://www.wikitree.co.kr/main/news_view.php?id=482161
광주시 ‘인공지능 중심도시’ 비전 선포,https://view.asiae.co.kr/article/2020012914393755723
"광주, 인공지능 중심도시 선포… AI산업융합 사업단 출범",http://news.kmib.co.kr/article/view.asp?arcid=0014177578&code=61121111&cp=nv
"""인공지능 광주시대 활짝 열겠다""",http://www.namdonews.com/news/articleView.html?idxno=558740
[집중취재]① AI 산업 핵심은 ‘인재’…사관학교 ‘인기’,http://news.kbs.co.kr/news/view.do?ncd=4458394&ref=A
광주 지역 첫 인공지능 채용설명회..지역인재 채용 관심,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_05&menuId=56_65_76&nwid=359526
이용섭 시장 “인공지능 광주시대 활짝 열 것”,http://www.gjdream.com/v2/news/view.html?news_type=201&uid=502092
"이용섭, 광주 인공지능산업 육성해 자동차와 에너지 시너지 노려",http://www.businesspost.co.kr/BP?command=article_view&num=156265
[민선 7기 후반기…단체장에 듣는다] 이용섭 광주시장,http://www.kjdaily.com/read.php3?aid=1593514564515927036
“혁신·소통으로 내년 ‘인공지능 광주시대’ 원년 만들 터”,https://view.asiae.co.kr/article/2019122311101680859
"""의향 넘어 인공지능 광주로""…광주시, AI 중심도시 선포",http://www.namdonews.com/news/articleView.html?idxno=558079
"광주시, 인공지능 선도 인재양성 박차",http://www.kjdaily.com/read.php3?aid=1574157642490892002
"""인공지능 광주시대 열겠다"" 이용섭 시장 '산학협동포럼' 특강",http://news1.kr/articles/?3817331
인공지능 중심도시 광주 전략 구체화 속도,http://www.newsprime.co.kr/news/article.html?no=486849
"광주시-교육기관, 인공지능 인재 양성 나선다",http://www.boannews.com/media/view.asp?idx=85895&kind=
"광주시, 예타면제 불구 ‘인공지능’ 적정성 검토 하세월",http://www.honam.co.kr/article.php?aid=1575359892603850227
"광주시, 정부와 인공지능 산업육성 발맞춰 간다",https://www.nocutnews.co.kr/news/5234484
‘AI 인재는 광주서 나온다’ 명불허전 되도록,http://www.kjdaily.com/read.php3?aid=1590913791512383018
"""인공지능 광주시대 활짝 열겠다""",http://www.namdonews.com/news/articleView.html?idxno=558762
"광주시-교육기관, 인공지능 인재양성 나서",http://www.betanews.net:8080/article/1123300.html
광주에 AI 사관학교 7월 문 연다,https://www.sedaily.com/NewsView/1Z1K7HZ3BO
광주시 인공지능 4대강국 대한민국 견인차로,http://www.gjdream.com/v2/news/view.html?news_type=201&uid=501541
"광주시-교육기관, AI 인재양성 손잡는다",http://www.honam.co.kr/article.php?aid=1579501513608152227
"""인공지능 광주시대를 활짝 열겠습니다""",http://www.weeklytoday.com/news/articleView.html?idxno=139004
"이용섭 광주시장, ""11월 추진성과 공유 및 현안사업 차질 없이 마무리 할 것"" 당부",http://www.wikitree.co.kr/main/news_view.php?id=485604
"광주시, 교육기관과 인공지능 인재양성 나선다",http://www.newsway.co.kr/news/view?tp=1&ud=2020012022074595762
이용섭 광주시장 “인공지능 광주시대를 활짝 열겠습니다”,http://www.newsway.co.kr/news/view?tp=1&ud=2020020417575284269
이용섭 광주시장 “인공지능 광주시대를 활짝 열겠습니다”,http://www.wikitree.co.kr/main/news_view.php?id=502323
"광주시-교육기관, 인공지능 인재양성 나서",http://www.m-i.kr/news/articleView.html?idxno=674737
